objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23766E+18,218.8664823,43.20580649,19.56731,17.64972,16.71884,16.28947,15.94704,3699,301,6,181,1.57187E+18,GALAXY,0.0839247,1396,53112,410
1.23765E+18,137.5098885,54.98594381,18.76479,17.83571,17.55636,17.44209,17.41666,1331,301,3,220,5.06688E+17,STAR,-0.000601078,450,51908,119
1.23765E+18,177.0915621,68.0853348,18.94801,17.66593,16.99156,16.63314,16.36738,1412,301,5,149,5.54089E+17,GALAXY,0.1164714,492,51955,532
1.23766E+18,357.9631339,32.96351941,19.45873,19.24692,18.92792,18.7261,18.5623,4135,301,1,249,8.72703E+18,QSO,1.196476,7751,58081,656
1.23765E+18,128.1798291,47.39418402,19.38154,18.2634,17.86788,17.73249,17.76134,2076,301,5,169,3.57378E+18,STAR,0.000169705,3174,54821,625
1.23765E+18,112.1048757,30.74727404,16.78917,15.66094,15.40014,15.33503,15.32133,2076,301,5,31,3.01404E+18,STAR,0.000159058,2677,54180,15
1.23765E+18,115.1810012,34.73548393,19.01385,18.66948,18.45963,18.45004,18.20074,2076,301,5,63,6.10321E+17,QSO,0.8456263,542,51993,302
1.23768E+18,354.438295,32.19565345,19.26509,18.22012,17.82656,17.64138,17.58769,8111,301,4,49,8.73711E+18,STAR,-0.000425514,7760,58080,472
1.23767E+18,162.3802533,26.93193515,19.19823,18.25712,17.95183,17.83488,17.85274,5061,301,1,315,1.17928E+19,STAR,4.31E-05,10474,58143,522
1.23766E+18,166.1483472,40.91733101,19.27853,17.84394,17.2698,17.09478,17.00042,3893,301,3,81,3.74482E+18,STAR,-0.000188012,3326,54943,274
1.23766E+18,121.9698812,30.59631079,18.00844,16.14261,15.26032,14.82084,14.48173,2830,301,4,85,9.68444E+17,GALAXY,0.0753201,860,52319,618
1.23767E+18,152.7467001,19.22227502,19.16295,18.05183,17.2841,16.88309,16.69348,5183,301,3,147,2.6708E+18,GALAXY,0.1735061,2372,53768,599
1.23768E+18,29.12618659,4.234294784,19.25326,18.3513,18.05211,17.96206,17.91607,7727,301,3,260,4.80764E+18,STAR,-0.000392069,4270,55511,160
1.23767E+18,280.9444104,63.85362663,17.05414,15.3938,14.82571,14.64987,14.59573,6162,301,3,200,2.87332E+18,STAR,-4.19E-05,2552,54632,67
1.23767E+18,247.0061883,10.25902971,17.16112,15.91521,15.79036,15.77998,15.81207,5317,301,5,157,2.84983E+18,STAR,-0.00022247,2531,54572,634
1.23767E+18,172.028172,20.72438253,19.42308,18.17994,17.48728,17.09057,16.8367,5194,301,1,383,2.81262E+18,GALAXY,0.1318852,2498,54169,458
1.23767E+18,175.9269624,21.1340853,19.54121,18.2247,17.59404,17.23429,17.05146,5194,301,1,407,2.82265E+18,GALAXY,0.08999132,2507,53876,57
1.23767E+18,105.5201445,29.97263759,18.00085,16.77214,16.77225,16.88174,16.97354,6585,301,4,147,3.60975E+18,STAR,0.000121395,3206,54852,427
1.23767E+18,249.0622041,62.30109367,17.09831,15.49977,14.95081,14.75347,14.69687,6122,301,2,101,2.87107E+18,STAR,-0.000116985,2550,54206,108
1.23766E+18,202.9173615,49.7802612,18.9226,18.20259,18.18943,18.11671,17.94447,2964,301,6,398,7.58638E+18,QSO,2.397548,6738,56424,244
1.23767E+18,108.670446,40.268584,18.34665,17.22228,16.66732,16.43406,16.30251,6573,301,5,179,3.30806E+18,STAR,7.25E-05,2938,54526,601
1.23765E+18,117.0205,37.17439193,19.05627,17.65055,16.94947,16.51911,16.22557,2076,301,5,82,6.11456E+17,GALAXY,0.08417211,543,52017,336
1.23765E+18,339.2332033,13.46199597,19.39593,18.50344,18.14886,17.99512,18.01743,1739,301,3,168,5.67917E+18,STAR,-0.000833642,5044,56186,480
1.23767E+18,247.9922178,62.82977907,16.75653,15.20224,14.72921,14.48143,14.39446,6162,301,3,102,2.8712E+18,STAR,9.13E-05,2550,54206,558
1.23766E+18,131.6274597,31.08305369,19.36395,18.22588,17.41018,16.96251,16.7571,3606,301,4,54,1.42892E+18,GALAXY,0.1472009,1269,52937,568
1.23766E+18,129.4759479,29.79504719,18.82284,17.42278,16.61089,16.16175,15.84508,3606,301,4,39,1.42884E+18,GALAXY,0.08372208,1269,52937,268
1.23766E+18,129.7242321,30.17926884,19.35537,17.48324,16.49291,16.04245,15.67669,3606,301,4,42,1.42884E+18,GALAXY,0.09740528,1269,52937,265
1.23766E+18,133.3741508,32.09704946,18.789,17.35118,16.62823,16.23751,15.94887,3606,301,4,66,1.4311E+18,GALAXY,0.07641525,1271,52974,280
1.23767E+18,236.4195828,16.42640183,18.58638,17.80398,17.46685,16.94173,16.93774,5323,301,4,53,2.83512E+18,GALAXY,0.09248818,2518,54243,382
1.23767E+18,20.26055159,-0.61992646,18.52695,17.0962,16.34082,15.94556,15.6283,4858,301,2,490,4.48114E+17,GALAXY,0.09277897,398,51789,22
1.23767E+18,112.4582174,41.17450332,17.30745,16.16104,15.99554,15.96713,15.98542,6573,301,5,199,3.02091E+18,STAR,2.67E-05,2683,54153,425
1.23765E+18,117.9894773,38.07407215,19.11564,17.41779,16.52293,16.07238,15.73267,2076,301,5,89,6.11473E+17,GALAXY,0.1130413,543,52017,399
1.23765E+18,118.7297869,39.10637983,19.50415,17.74741,16.71837,16.1954,15.8449,2076,301,5,97,6.12583E+17,GALAXY,0.1186765,544,52201,341
1.23765E+18,167.3340108,-0.440401192,18.05824,16.40586,15.55279,15.08307,14.73853,756,301,2,344,3.13055E+17,GALAXY,0.06551905,278,51900,198
1.23765E+18,142.8547716,56.16893554,19.18323,18.17326,17.79193,17.54227,17.45154,2074,301,6,159,6.25E+17,GALAXY,0.08701973,555,52266,455
1.23765E+18,100.9267375,-0.869441538,16.71484,15.23075,14.65818,14.33652,14.19948,307,301,1,167,8.17186E+18,STAR,-0.000109596,7258,56605,271
1.23766E+18,127.051061,28.38960059,18.96021,17.15726,16.21052,15.75024,15.41561,3606,301,4,22,1.42664E+18,GALAXY,0.09428709,1267,52932,451
1.23766E+18,141.9548264,36.55096014,18.2194,16.35048,15.44443,14.99248,14.65024,3606,301,4,122,1.43561E+18,GALAXY,0.08679763,1275,52996,313
1.23766E+18,164.2127882,38.76846104,19.3549,18.22837,17.3884,16.94318,16.66483,4469,301,5,341,2.25985E+18,GALAXY,0.1955526,2007,53474,630
1.23766E+18,359.6919335,27.5015405,17.6578,17.41355,17.70305,17.92326,18.29741,4152,301,1,109,3.15598E+18,STAR,0.000189754,2803,54368,290
1.23766E+18,205.7791661,59.51125531,18.7993,17.63736,17.06883,16.65675,16.49017,3225,301,6,20,1.08103E+18,GALAXY,0.08483098,960,52425,606
1.23765E+18,177.6417985,-0.537806203,18.04435,16.90601,16.67924,16.58858,16.62658,756,301,2,413,3.1983E+17,GALAXY,0.00611839,284,51943,270
1.23766E+18,143.3088991,68.06137878,19.2878,17.70668,17.07983,16.76122,16.61457,4264,301,5,244,2.11455E+18,GALAXY,0.02229485,1878,54474,412
1.23766E+18,159.9337915,51.76803324,18.72772,18.42633,17.75244,17.3175,17.13411,2821,301,2,101,1.13724E+18,QSO,0.2226562,1010,52649,296
1.23766E+18,177.897985,54.22895126,17.02704,15.82094,15.3098,14.96429,14.75982,2821,301,2,175,7.70012E+18,GALAXY,0.06481571,6839,56425,326
1.23766E+18,16.67390369,0.906193908,18.49752,16.59698,15.90341,15.68926,15.56516,4263,301,6,227,2.60432E+18,STAR,-6.61E-05,2313,53726,407
1.23766E+18,26.37213579,1.037119202,18.10556,16.96557,16.54376,16.3718,16.3178,4263,301,6,292,2.14612E+18,STAR,-0.000260675,1906,53293,578
1.23766E+18,29.13644076,1.001513021,19.01896,17.27753,16.46931,16.12742,15.96579,4263,301,6,310,3.22692E+18,STAR,0.000145188,2866,54478,347
1.23766E+18,252.0969793,23.7994599,19.51755,18.51433,18.14776,18.02381,17.94255,3926,301,5,184,2.46692E+18,STAR,0.000124124,2191,54621,275
1.23766E+18,253.465401,22.58094847,18.87774,17.8215,17.46485,17.31273,17.23733,3926,301,5,196,3.70429E+18,STAR,-0.000462376,3290,54941,306
1.23766E+18,253.9016611,22.21517016,19.30205,18.01935,17.46848,17.24698,17.12296,3926,301,5,199,3.70429E+18,STAR,-0.000592589,3290,54941,273
1.23765E+18,162.1993586,66.09045881,19.0376,17.84125,17.49447,17.30249,17.17318,1412,301,4,109,5.51775E+17,GALAXY,0.02175434,490,51929,306
1.23765E+18,137.0995771,54.75628763,19.4813,18.10759,17.6029,17.37697,17.37402,1331,301,3,218,8.20581E+18,STAR,-0.000196024,7288,57039,913
1.23766E+18,202.9891173,45.37039412,19.53147,19.14173,19.14741,18.89735,18.9187,3699,301,2,105,1.64721E+18,QSO,0.6165856,1463,53063,55
1.23766E+18,204.1329728,45.0961907,19.54783,19.48551,19.14947,19.15049,19.32906,3699,301,2,111,8.33956E+18,QSO,1.347642,7407,56772,58
1.23768E+18,11.89554941,8.895560262,18.59029,17.50697,17.15766,17.00782,16.95135,7880,301,1,121,1.24378E+19,STAR,-0.000631944,11047,58424,61
1.23765E+18,167.7764867,5.486577902,18.38896,17.10281,16.62481,16.37239,16.33522,2126,301,5,324,6.54315E+17,GALAXY,0.02075017,581,52356,607
1.23766E+18,335.7946156,0.080423872,19.39803,18.30351,17.81715,17.45024,17.33171,4192,301,4,194,4.22346E+17,GALAXY,0.08923814,375,52140,487
1.23766E+18,336.3433019,0.05419689,19.30692,18.11358,17.54175,17.33449,17.13184,4192,301,4,198,4.23436E+17,GALAXY,0.05278882,376,52143,355
1.23767E+18,233.7294077,11.71603555,17.34958,16.39677,16.27371,16.27371,16.27969,5322,301,3,161,3.10076E+18,STAR,-0.000859642,2754,54240,115
1.23765E+18,316.1121365,10.30382655,18.95272,18.82956,18.64917,18.37289,18.10728,1738,301,4,82,8.18659E+17,STAR,-0.000107422,727,52207,473
1.23765E+18,201.6054637,66.44807803,17.57564,16.60007,16.29347,16.19984,16.18524,1412,301,3,213,2.75288E+18,STAR,-0.000245227,2445,54573,183
1.23766E+18,229.6865569,51.20773171,17.37334,16.38691,16.02485,15.86724,15.78113,3225,301,4,125,1.31169E+18,GALAXY,0.01418062,1165,52703,75
1.23766E+18,207.6422148,46.24924271,18.86844,17.05481,16.20441,15.85357,15.53001,3699,301,6,125,1.65067E+18,GALAXY,0.06443466,1466,53083,380
1.23765E+18,159.6416685,65.61862707,18.39948,17.23854,16.88888,16.55936,16.40194,1412,301,4,101,5.50705E+17,GALAXY,0.05155805,489,51930,510
1.23766E+18,21.77744342,-1.122306505,17.36576,16.03518,15.39515,15.07128,14.84941,4263,301,1,261,4.49258E+17,GALAXY,0.0176485,399,51817,86
1.23767E+18,28.99042135,-10.12377585,19.33984,17.66678,16.79308,16.37497,16.05876,5933,301,1,76,7.48735E+17,GALAXY,0.09997641,665,52168,43
1.23766E+18,254.5966655,39.08752241,18.68191,17.69314,17.40727,17.31062,17.29527,2335,301,6,49,1.20699E+19,STAR,-0.000874903,10720,58250,952
1.23766E+18,216.9631591,43.00008977,19.32872,18.25411,17.55488,17.16725,16.95082,3699,301,4,174,1.57077E+18,GALAXY,0.1821796,1395,52825,494
1.23766E+18,163.1851348,50.59654733,19.29169,18.2241,17.70925,17.38592,17.25146,2830,301,4,329,9.8643E+17,GALAXY,0.1407824,876,52669,515
1.23766E+18,181.5848525,42.33704053,19.00754,18.78102,18.65147,18.72993,18.74445,3893,301,3,158,9.43753E+18,QSO,0.9048473,8382,57513,876
1.23766E+18,30.57202922,-1.127845549,16.44682,14.41355,13.4567,13.03564,12.72423,4263,301,1,320,7.89291E+17,GALAXY,0.04254673,701,52179,129
1.23766E+18,30.58446891,-1.110807925,17.42253,15.39012,14.49121,14.0741,13.68777,4263,301,1,320,4.53742E+17,GALAXY,0.04317472,403,51871,14
1.23766E+18,126.4137608,2.825892292,19.46814,17.44984,16.45867,15.98362,15.63083,2986,301,1,51,5.39557E+18,GALAXY,0.08456881,4792,55925,930
1.23766E+18,133.6014317,3.510155862,17.8054,16.46597,15.85306,15.50767,15.23255,2986,301,1,100,6.36249E+17,GALAXY,0.02793614,565,52225,422
1.23766E+18,146.5505824,4.734714576,19.3078,18.03686,17.35918,16.96924,16.71451,2986,301,1,186,6.41918E+17,GALAXY,0.08806066,570,52266,563
1.23766E+18,123.3555125,31.94569493,17.59217,16.37236,15.89569,15.61767,15.5748,2830,301,4,97,9.69532E+17,GALAXY,0.01358272,861,52318,481
1.23766E+18,14.74428092,1.004748973,19.4377,18.53167,18.25853,18.1586,18.14568,4263,301,6,214,3.50392E+18,STAR,6.89E-05,3112,54802,449
1.23766E+18,16.44215122,0.886305124,18.87418,17.48917,16.96079,16.76294,16.66895,4263,301,6,225,2.60431E+18,STAR,3.27E-05,2313,53726,366
1.23766E+18,207.1786293,45.32456229,19.43023,19.2591,19.22428,18.85625,18.75821,3699,301,4,124,7.46272E+18,QSO,1.865337,6628,56366,928
1.23766E+18,137.5217897,45.75201154,19.51123,18.39007,18.03898,17.87152,17.87534,2825,301,2,208,1.01108E+18,STAR,-0.000205707,898,52606,73
1.23766E+18,212.8743082,57.12993441,19.4221,18.03761,17.30204,16.92245,16.6771,3225,301,4,49,1.30494E+18,GALAXY,0.1211821,1159,52669,77
1.23766E+18,209.5979357,45.73929946,18.68834,17.45821,16.82047,16.4297,16.18686,3699,301,6,134,1.65073E+18,GALAXY,0.1064154,1466,53083,583
1.23767E+18,122.8410763,34.58164644,18.42506,16.56125,15.67387,15.25637,14.91427,6709,301,4,56,9.28967E+17,GALAXY,0.05318789,825,52289,361
1.23767E+18,122.5775309,34.67996388,19.09578,17.61458,16.90284,16.50938,16.25396,6709,301,4,55,9.28957E+17,GALAXY,0.08249907,825,52289,325
1.23768E+18,3.260417192,-6.542030408,19.32638,17.45364,16.53271,16.11475,15.81283,8095,301,6,321,8.04929E+18,GALAXY,0.08237679,7149,56593,838
1.23765E+18,148.8252536,4.270017855,13.89799,12.95238,12.33823,12.1291,11.84838,2126,301,4,198,6.43053E+17,GALAXY,0.006009617,571,52286,597
1.23768E+18,32.08622332,5.880320055,18.92804,17.22284,16.53706,16.25021,16.10866,7760,301,2,165,8.16965E+18,STAR,-0.000589956,7256,56658,437
1.23766E+18,13.72893095,1.01745295,19.56934,19.3326,19.13186,19.16023,19.00674,4263,301,6,207,3.50283E+18,QSO,1.062695,3111,54800,566
1.23765E+18,12.11386006,-9.57387874,19.29061,19.08761,18.90418,18.83548,18.81557,1740,301,4,102,7.39812E+17,QSO,1.224391,657,52177,350
1.23766E+18,247.7210548,40.80219883,18.12713,16.51987,15.78623,15.40388,15.12937,2328,301,3,46,9.1997E+17,GALAXY,0.03286429,817,52381,400
1.23766E+18,126.0357056,33.19438681,18.08426,16.64496,16.10033,15.91613,15.83049,2964,301,6,16,3.5827E+18,STAR,9.35E-05,3182,54828,330
1.23767E+18,38.44039123,27.57830338,19.51618,18.46808,18.15375,18.02548,17.96149,5934,301,5,117,2.75178E+18,STAR,-0.000294643,2444,54082,303
1.23767E+18,154.1522057,16.97062549,18.11683,16.57502,15.8854,15.60129,15.42613,5935,301,3,251,2.91503E+18,GALAXY,0.02512361,2589,54174,265
1.23766E+18,65.05037855,30.91715702,18.01983,16.54403,15.89769,15.63642,15.49009,3557,301,4,65,1.40968E+18,STAR,-0.00014025,1252,52970,178
1.23766E+18,245.7745833,40.85843701,18.47647,17.52387,17.18828,17.11906,17.0869,3225,301,4,226,9.59946E+18,STAR,-0.00097967,8526,57898,134
1.23766E+18,255.3411745,19.8545308,19.51203,17.94193,17.29558,16.93595,16.68438,3926,301,3,217,1.60447E+18,GALAXY,0.04704081,1425,52913,244
1.23766E+18,236.8899316,29.80950458,18.12514,16.33902,15.49083,15.09037,14.78912,3927,301,4,62,1.56511E+18,GALAXY,0.06222441,1390,53142,407
1.23767E+18,196.7456337,29.16549713,19.21886,18.04064,17.66299,17.41833,17.31064,4649,301,3,94,2.262E+18,GALAXY,0.06079102,2009,53904,228
1.23767E+18,202.6313546,28.42301347,18.52121,16.62766,15.72781,15.31158,14.99631,4649,301,3,129,2.22708E+18,GALAXY,0.06142223,1978,53473,181
1.23765E+18,185.2636349,-1.257022133,18.30154,17.35832,17.10313,17.00327,16.97431,1140,301,6,216,2.88013E+18,STAR,0.000599294,2558,54140,281
1.23766E+18,183.9358295,7.311170502,18.88588,16.93794,15.96839,15.50779,15.14373,3015,301,3,465,1.82848E+18,GALAXY,0.07344317,1624,53386,76
1.23768E+18,21.83141957,11.96021553,18.35128,17.41946,17.08804,16.97849,16.94829,7773,301,3,453,1.24627E+19,STAR,0.000197132,11069,58456,570
1.23767E+18,163.4105485,26.90987087,17.40251,15.15917,14.28853,13.77412,13.34978,5112,301,6,353,2.65385E+18,GALAXY,0.02109995,2357,53793,370
1.23767E+18,166.3664879,23.32477945,17.73794,16.27286,15.69153,15.62691,15.52521,5140,301,2,98,2.79899E+18,STAR,-0.000174368,2486,53876,4
1.23766E+18,230.0179866,28.89989321,18.97544,17.53899,16.75547,16.343,16.03135,4512,301,4,203,2.07963E+18,GALAXY,0.08350702,1847,54176,324
1.23766E+18,236.0942101,26.05954559,18.36715,16.77127,16.07226,15.71335,15.43353,4512,301,4,244,2.08194E+18,GALAXY,0.03727384,1849,53846,552
1.23766E+18,186.1525439,7.540494326,18.43123,17.36957,17.01707,16.73737,16.64182,3841,301,4,142,1.8296E+18,GALAXY,0.04883192,1625,53140,37
1.23767E+18,172.320432,28.24347886,19.2609,18.0681,17.56593,17.37756,17.33379,5061,301,1,375,2.49737E+18,STAR,-0.000127207,2218,53816,450
1.23766E+18,189.135652,11.69265358,19.504,18.98708,18.94693,18.92961,18.76619,3805,301,2,14,6.09013E+18,QSO,2.365565,5409,55957,500
1.23766E+18,140.4783918,35.27863432,18.38353,17.3095,16.96297,16.72305,16.60909,3606,301,3,111,1.43446E+18,GALAXY,0.04856721,1274,52995,230
1.23766E+18,140.1036987,35.09018059,19.48782,17.72229,17.13923,16.82227,16.77208,3606,301,3,109,1.43344E+18,GALAXY,0.02323286,1273,52993,624
1.23768E+18,29.40518637,4.162226486,19.40769,19.31576,19.12592,19.26383,19.33759,7727,301,3,262,9.83837E+18,QSO,0.9881379,8738,57402,935
1.23766E+18,117.3353235,27.99554727,17.91377,16.63852,16.12204,15.92342,15.82397,2864,301,6,62,3.6334E+18,STAR,0.000256751,3227,54893,429
1.23767E+18,173.7493234,33.69605631,19.50864,17.95708,17.11979,16.73937,16.42534,4576,301,2,386,2.36227E+18,GALAXY,0.1287071,2098,53460,472
1.23766E+18,356.5838367,36.78204425,19.44587,17.77548,17.10041,16.82686,16.69749,4135,301,1,222,2.11679E+18,STAR,-0.000170887,1880,53262,354
1.23766E+18,327.5349785,73.97332323,17.03143,15.15081,14.22783,14.23619,13.5597,4134,301,6,152,2.8577E+18,STAR,-0.000149679,2538,54271,621
1.23766E+18,152.6698202,51.59167472,19.2524,17.09365,16.02803,15.55982,15.17818,2831,301,1,82,1.1339E+18,GALAXY,0.1307362,1007,52706,417
1.23766E+18,255.6560825,21.13738745,19.42904,18.30961,17.86942,17.42524,17.2793,3926,301,6,212,1.60454E+18,GALAXY,0.06801538,1425,52913,469
1.23766E+18,232.5668968,37.56281954,17.32562,15.98555,15.49531,15.2459,15.08364,3926,301,6,40,1.57643E+18,QSO,1.441647,1400,53470,625
1.23766E+18,340.6397671,0.039838424,18.77131,17.7186,17.34414,17.04336,16.91401,4192,301,4,226,4.24639E+17,GALAXY,0.05855611,377,52145,636
1.23768E+18,324.5585279,1.333776698,19.10131,18.10791,17.76303,17.60946,17.59971,7712,301,2,93,1.03889E+19,STAR,-0.000441598,9227,57932,964
1.23766E+18,223.2841123,-1.421112293,19.31238,18.1169,18.17595,18.2453,18.3285,2379,301,5,94,1.03707E+18,STAR,8.32E-05,921,52380,422
1.23766E+18,183.1735591,51.11172154,19.35711,18.91588,18.95426,18.95642,19.05075,2964,301,6,314,3.28667E+18,STAR,-9.61E-05,2919,54537,604
1.23765E+18,321.7196796,11.8041312,19.34119,19.15737,19.10001,18.78255,18.78075,1739,301,5,53,8.22029E+17,QSO,1.65573,730,52466,445
1.23765E+18,322.4510709,11.98870628,17.31295,16.11727,15.88498,15.78395,15.75418,1739,301,5,58,2.2069E+18,STAR,-0.000428966,1960,53289,488
1.23766E+18,227.59093,-1.669110062,18.63386,16.80655,16.21451,15.95915,15.83052,2379,301,4,123,1.03825E+18,STAR,-0.000205319,922,52426,629
1.23766E+18,251.2082432,31.52903671,17.67315,16.71908,16.39971,16.27008,16.24917,3705,301,2,337,1.50989E+18,STAR,-0.001070605,1341,52786,196
1.23766E+18,225.4323761,44.67792776,17.65834,16.56451,16.22342,16.11052,16.06704,3918,301,3,189,3.81689E+18,STAR,-0.000181144,3390,54945,309
1.23766E+18,20.62108038,0.967606707,18.29705,17.14136,16.77368,16.62065,16.57645,4263,301,6,253,1.21494E+18,STAR,-0.000209044,1079,52621,324
1.23766E+18,179.9516618,61.85054208,19.15481,17.35791,16.48552,16.07437,15.7729,2304,301,2,182,8.76026E+17,GALAXY,0.06475684,778,54525,276
1.23767E+18,195.7635642,19.24956055,16.43811,15.20006,14.74997,14.62205,14.59858,5308,301,2,30,3.29214E+18,STAR,1.16E-05,2924,54582,29
1.23766E+18,141.8951533,36.54678047,18.18242,16.93288,16.4321,16.18772,16.00288,3606,301,4,122,1.43455E+18,GALAXY,0.02771023,1274,52995,568
1.23765E+18,165.4466477,3.716427478,19.51361,18.42996,17.92612,17.70001,17.59893,2126,301,1,309,3.65033E+18,STAR,0.000628624,3242,54889,598
1.23766E+18,187.1261083,12.94316097,17.51402,16.99167,16.84977,16.83724,16.90867,3804,301,5,195,1.81737E+18,STAR,0.00016282,1614,53120,627
1.23766E+18,203.3426848,46.16879116,18.7207,17.02971,16.28517,15.9006,15.62995,3699,301,4,105,1.64721E+18,GALAXY,0.03678539,1463,53063,77
1.23766E+18,210.6948998,44.5936835,19.06582,17.25153,16.40944,16.06056,15.76619,3699,301,4,142,1.65181E+18,GALAXY,0.05874074,1467,53115,432
1.23768E+18,32.07168456,5.919206745,18.27281,17.00914,16.58095,16.38691,16.32016,7760,301,2,165,8.16965E+18,STAR,0.00043863,7256,56658,438
1.23766E+18,131.3947627,3.375634908,18.89091,17.65321,17.01351,16.64471,16.41651,2986,301,1,85,6.35132E+17,GALAXY,0.1058487,564,52224,454
1.23766E+18,136.8826184,3.882430036,19.021,17.30352,16.28856,15.85667,15.51467,2986,301,1,122,6.37385E+17,GALAXY,0.1226741,566,52238,457
1.23765E+18,6.753435627,-9.741990846,18.92563,17.90685,17.60377,17.50725,17.49647,1740,301,4,66,3.496E+18,STAR,-3.61E-05,3105,54825,307
1.23767E+18,57.58032227,-0.521003605,18.72355,17.67147,17.30933,16.95851,16.77576,4849,301,2,839,1.39842E+18,GALAXY,0.05383282,1242,52901,176
1.23766E+18,241.6013913,37.46335235,18.96355,16.41193,15.25526,14.84025,14.61827,3180,301,2,228,3.91605E+18,STAR,-7.41E-05,3478,55008,611
1.23766E+18,219.8662395,-2.716273899,19.26976,18.11378,17.58569,17.25977,17.05533,2379,301,2,71,1.03471E+18,GALAXY,0.1300403,919,52409,19
1.23767E+18,108.9782589,40.45449255,19.29056,17.45958,16.7596,16.47303,16.32266,6573,301,5,181,3.60862E+18,STAR,1.09E-05,3205,54848,387
1.23767E+18,204.3233868,27.8212632,18.68617,17.6742,17.22942,17.02821,16.97096,4649,301,2,140,2.78668E+18,STAR,-0.000544871,2475,53845,297
1.23766E+18,219.1801907,56.47214195,19.41682,18.00855,17.14115,16.65498,16.35415,3225,301,6,71,1.30734E+18,GALAXY,0.09998287,1161,52703,622
1.23766E+18,127.3969701,28.12926025,19.49066,19.13737,19.21226,19.06033,19.02299,3606,301,3,23,1.42667E+18,QSO,0.5650581,1267,52932,547
1.23767E+18,164.8387127,25.86293421,18.6043,17.54325,17.02043,16.69507,16.56998,5112,301,3,361,2.6539E+18,GALAXY,0.1090534,2357,53793,552
